Acinetobacter_baumannii	Acinetobacter_indicus	Acinetobacter_nosocomialis	Acinetobacter_pittii	Acinetobacter_seifertii
['1']	[]	[]	[]	[]
['4']	[]	[]	[]	[]
['5']	[]	['93']	['40']	[]
['7']	[]	['120']	['100']	['83']
['14']	[]	['113']	['122']	[]
['21']	[]	[]	[]	[]
['26']	[]	[]	[]	[]
['28']	[]	[]	['98']	['62']
['30']	[]	[]	[]	[]
['31']	[]	[]	[]	[]
['34']	[]	[]	['150']	['52']
['35']	[]	[]	[]	[]
['36']	[]	[]	[]	[]
['37']	[]	['138']	['30']	['66']
['39']	[]	[]	[]	[]
['40']	[]	[]	[]	[]
['45']	[]	[]	[]	[]
['50']	[]	['112']	['113']	['38']
['52']	[]	[]	[]	[]
['53']	[]	[]	[]	[]
['54']	[]	[]	['179']	[]
['57']	[]	[]	[]	['6']
['58', '240']	[]	['81']	['85']	['89']
['64']	[]	[]	[]	[]
['65']	[]	[]	[]	[]
['66']	[]	['130']	['8']	[]
['67']	[]	['123']	['82']	['16']
['71']	[]	[]	['156', '79']	['68']
['72']	[]	[]	[]	[]
['73']	[]	[]	['72']	[]
['76']	[]	['89']	[]	['74']
['85']	[]	[]	[]	[]
['86']	[]	['16']	['162']	['47']
['88']	[]	[]	[]	[]
['93']	[]	[]	['50']	[]
['113']	[]	[]	[]	[]
['118']	[]	['151']	[]	['15']
['119']	[]	['61']	['157']	['87']
['120']	[]	[]	[]	[]
['121']	[]	[]	[]	[]
['122']	[]	[]	[]	[]
['130']	[]	['67']	['134']	['56']
['135']	[]	[]	[]	[]
['142']	[]	[]	[]	[]
['146']	[]	[]	[]	[]
['167']	[]	[]	[]	[]
['171']	[]	[]	['105']	[]
['173']	[]	[]	[]	[]
['177']	[]	[]	[]	['32']
['178']	[]	[]	[]	[]
['192']	[]	[]	[]	[]
['193']	[]	['136']	[]	['115']
['199']	[]	[]	[]	[]
['214']	[]	[]	[]	[]
['217']	[]	[]	[]	[]
['219']	[]	[]	[]	[]
['230']	[]	[]	[]	[]
['231']	[]	[]	[]	[]
['233']	[]	[]	[]	['138']
['239']	[]	[]	[]	[]
['252']	[]	['12']	['101']	[]
['259']	[]	['114']	['136']	['23']
['273']	[]	[]	[]	[]
['274']	[]	[]	[]	[]
['287']	[]	['47']	['167']	['130']
['300']	[]	[]	[]	[]
['306']	[]	[]	[]	[]
['324']	[]	[]	[]	[]
['327']	[]	[]	[]	[]
['330']	[]	[]	['159']	[]
['338']	[]	[]	[]	[]
['342']	[]	[]	[]	[]
['346']	[]	[]	[]	[]
['362']	[]	[]	[]	[]
['363']	[]	[]	[]	['75']
[]	['1']	[]	[]	[]
[]	['2']	[]	[]	[]
[]	['5']	[]	[]	[]
[]	['7']	[]	[]	[]
[]	['15']	[]	[]	[]
[]	['16']	[]	[]	[]
[]	['22']	[]	[]	[]
[]	['25']	[]	[]	[]
[]	['30']	[]	[]	[]
[]	['32']	[]	[]	[]
[]	['33']	[]	[]	[]
[]	['36']	[]	[]	[]
[]	['37']	[]	[]	[]
[]	['57']	[]	[]	[]
[]	[]	['3']	[]	[]
[]	[]	['20']	[]	[]
[]	[]	['21']	[]	[]
[]	[]	['50']	['11']	[]
[]	[]	['53']	['132']	['22']
[]	[]	['55']	[]	[]
[]	[]	['57']	[]	['8']
[]	[]	['59']	[]	[]
[]	[]	['62']	['183']	[]
[]	[]	['70']	[]	[]
[]	[]	['72']	[]	[]
[]	[]	['97']	[]	['31']
[]	[]	['103']	[]	[]
[]	[]	['104']	['15']	['50']
[]	[]	['116']	[]	[]
[]	[]	['117']	[]	[]
[]	[]	['119']	['145']	['44']
[]	[]	['124']	[]	['14']
[]	[]	['126']	['67']	['43']
[]	[]	['137']	[]	[]
[]	[]	['139']	[]	[]
[]	[]	['141']	[]	[]
[]	[]	['144']	[]	[]
[]	[]	['153']	[]	[]
[]	[]	['154']	[]	[]
[]	[]	['166']	[]	[]
[]	[]	[]	['1']	[]
[]	[]	[]	['17']	[]
[]	[]	[]	['22']	[]
[]	[]	[]	['27']	[]
[]	[]	[]	['56']	[]
[]	[]	[]	['66']	[]
[]	[]	[]	['73']	[]
[]	[]	[]	['92']	[]
[]	[]	[]	['95']	[]
[]	[]	[]	['97']	[]
[]	[]	[]	['138']	[]
[]	[]	[]	['146']	[]
[]	[]	[]	['149']	[]
[]	[]	[]	['165']	[]
[]	[]	[]	['176']	[]
[]	[]	[]	['184']	[]
[]	[]	[]	[]	['0']
[]	[]	[]	[]	['7']
[]	[]	[]	[]	['9']
[]	[]	[]	[]	['11']
[]	[]	[]	[]	['12']
[]	[]	[]	[]	['13']
[]	[]	[]	[]	['19']
[]	[]	[]	[]	['25']
[]	[]	[]	[]	['36']
[]	[]	[]	[]	['39']
[]	[]	[]	[]	['48']
[]	[]	[]	[]	['53']
[]	[]	[]	[]	['54']
[]	[]	[]	[]	['61']
[]	[]	[]	[]	['84']
[]	[]	[]	[]	['108']
[]	[]	[]	[]	['109']
[]	[]	[]	[]	['124']
[]	[]	[]	[]	['139']
[]	[]	[]	[]	['144']
