ID	Number_species	Number_spots	Number_systems	Number_organisms
conserved_spot_0	1	1	71	56
conserved_spot_1	1	1	4	4
conserved_spot_2	3	3	152	145
conserved_spot_3	4	4	54	22
conserved_spot_4	3	3	33	24
conserved_spot_5	1	1	66	24
conserved_spot_6	1	1	1	1
conserved_spot_7	3	3	51	34
conserved_spot_8	1	1	19	7
conserved_spot_9	1	1	38	36
conserved_spot_10	3	3	8	6
conserved_spot_11	1	1	1	1
conserved_spot_12	1	1	16	8
conserved_spot_13	4	4	47	18
conserved_spot_14	1	1	1	1
conserved_spot_15	1	1	15	13
conserved_spot_16	1	1	46	42
conserved_spot_17	4	4	5	5
conserved_spot_18	1	1	1	1
conserved_spot_19	1	1	17	8
conserved_spot_20	2	2	3	3
conserved_spot_21	2	2	24	15
conserved_spot_22	4	5	37	31
conserved_spot_23	1	1	1	1
conserved_spot_24	1	1	12	12
conserved_spot_25	3	3	11	10
conserved_spot_26	4	4	417	248
conserved_spot_27	3	4	10	9
conserved_spot_28	1	1	8	8
conserved_spot_29	2	2	6	6
conserved_spot_30	3	3	8	6
conserved_spot_31	1	1	14	14
conserved_spot_32	4	4	4	4
conserved_spot_33	1	1	9	9
conserved_spot_34	2	2	15	15
conserved_spot_35	1	1	1	1
conserved_spot_36	3	3	78	76
conserved_spot_37	4	4	10	10
conserved_spot_38	1	1	2	1
conserved_spot_39	1	1	33	33
conserved_spot_40	1	1	1	1
conserved_spot_41	4	4	14	13
conserved_spot_42	1	1	1	1
conserved_spot_43	1	1	4	1
conserved_spot_44	1	1	3	1
conserved_spot_45	1	1	1	1
conserved_spot_46	2	2	6	6
conserved_spot_47	1	1	4	2
conserved_spot_48	2	2	12	12
conserved_spot_49	1	1	5	5
conserved_spot_50	1	1	6	6
conserved_spot_51	3	3	3	2
conserved_spot_52	1	1	4	2
conserved_spot_53	1	1	6	6
conserved_spot_54	1	1	6	3
conserved_spot_55	1	1	2	2
conserved_spot_56	1	1	1	1
conserved_spot_57	1	1	1	1
conserved_spot_58	2	2	2	2
conserved_spot_59	1	1	4	4
conserved_spot_60	3	3	6	4
conserved_spot_61	4	4	10	8
conserved_spot_62	1	1	7	2
conserved_spot_63	1	1	6	2
conserved_spot_64	4	4	3	3
conserved_spot_65	1	1	1	1
conserved_spot_66	1	1	1	1
conserved_spot_67	1	1	1	1
conserved_spot_68	1	1	2	1
conserved_spot_69	2	2	9	3
conserved_spot_70	1	1	1	1
conserved_spot_71	1	1	1	1
conserved_spot_72	1	1	1	1
conserved_spot_73	1	1	1	1
conserved_spot_74	2	2	5	3
conserved_spot_75	1	1	2	1
conserved_spot_76	1	1	3	3
conserved_spot_77	1	1	5	5
conserved_spot_78	1	1	18	10
conserved_spot_79	1	1	14	10
conserved_spot_80	1	1	37	13
conserved_spot_81	1	1	1	1
conserved_spot_82	1	1	6	3
conserved_spot_83	1	1	12	5
conserved_spot_84	1	1	2	1
conserved_spot_85	1	1	8	5
conserved_spot_86	1	1	8	4
conserved_spot_87	1	1	3	3
conserved_spot_88	1	1	2	2
conserved_spot_89	1	1	1	1
conserved_spot_90	1	1	1	1
conserved_spot_91	1	1	2	2
conserved_spot_92	2	2	3	2
conserved_spot_93	3	3	1	1
conserved_spot_94	1	1	2	2
conserved_spot_95	2	2	4	4
conserved_spot_96	1	1	1	1
conserved_spot_97	2	2	3	2
conserved_spot_98	1	1	1	1
conserved_spot_99	1	1	1	1
conserved_spot_100	2	2	14	11
conserved_spot_101	1	1	3	3
conserved_spot_102	3	3	8	7
conserved_spot_103	1	1	1	1
conserved_spot_104	1	1	2	1
conserved_spot_105	3	3	22	22
conserved_spot_106	2	2	1	1
conserved_spot_107	3	3	13	8
conserved_spot_108	1	1	1	1
conserved_spot_109	1	1	1	1
conserved_spot_110	1	1	2	1
conserved_spot_111	1	1	2	2
conserved_spot_112	1	1	1	1
conserved_spot_113	1	1	2	1
conserved_spot_114	1	1	2	1
conserved_spot_115	1	1	2	2
conserved_spot_116	1	1	2	1
conserved_spot_117	1	1	23	19
conserved_spot_118	1	1	1	1
conserved_spot_119	1	1	1	1
conserved_spot_120	1	1	6	4
conserved_spot_121	1	1	2	1
conserved_spot_122	1	1	12	9
conserved_spot_123	1	1	6	4
conserved_spot_124	1	1	7	3
conserved_spot_125	1	1	3	2
conserved_spot_126	1	1	7	4
conserved_spot_127	1	1	1	1
conserved_spot_128	1	1	2	1
conserved_spot_129	1	1	1	1
conserved_spot_130	1	1	1	1
conserved_spot_131	1	1	2	1
conserved_spot_132	1	1	2	1
conserved_spot_133	1	1	2	2
conserved_spot_134	1	1	1	1
conserved_spot_135	1	1	2	1
conserved_spot_136	1	1	4	2
conserved_spot_137	1	1	1	1
conserved_spot_138	1	1	55	14
conserved_spot_139	1	1	4	4
conserved_spot_140	1	1	1	1
conserved_spot_141	1	1	1	1
conserved_spot_142	1	1	7	5
conserved_spot_143	1	1	1	1
conserved_spot_144	1	1	6	5
conserved_spot_145	1	1	2	2
conserved_spot_146	1	1	1	1
conserved_spot_147	1	1	1	1
conserved_spot_148	1	1	1	1
conserved_spot_149	1	1	2	1
conserved_spot_150	1	1	1	1
